ch_0,ch_1,ch_2,ch_3,ch_4
-2.4982,-2.487,-2.5565,-2.1306,-2.5623
0.48408,-0.93834,1.6047,-0.22118,2.9168
0.54125,-0.83375,-1.853,-1.9248,-3.2403
3.0102,2.4268,4.0253,1.6207,2.1132
2.3093,0.47534,-1.9844,1.6038,3.451
-2.3991,-0.30042,-1.0141,-0.59799,-0.94519
3.3937,0.032304,3.5028,1.8865,1.0291
-5.1981,-1.0459,-2.9945,-2.9647,-3.0611
1.8597,-0.212,-0.19769,0.69504,2.156
0.14855,2.1779,1.3536,0.88665,-1.9631
1.7637,-2.6928,-1.9959,0.25264,0.94108
-7.8677,-1.421,-2.6271,-0.66188,-0.42175
2.4475,-2.954,1.3718,-0.62095,0.43824
-0.67254,-1.4093,0.50653,0.53975,-3.7371
3.6669,0.52008,1.2901,2.9294,1.0644
3.4163,3.7053,4.8963,2.682,2.9818
-5.4948,-4.6989,-6.0477,-5.5962,-6.4937
-2.34,-3.8128,-3.0557,-1.5403,-3.34
-0.42235,-0.95333,-0.83041,0.33494,-0.084692
-0.85638,1.2934,1.572,-0.064518,1.5357
0.54048,-0.90499,0.93176,1.6593,1.8382
-1.3718,1.5873,1.6882,1.9931,1.4021
3.0261,5.0505,4.7629,2.735,3.7962
1.9985,0.57521,1.1046,-1.3689,2.29
3.6618,1.2918,-1.3104,0.79104,-0.45041
2.5686,0.086782,-1.5795,-0.26435,-1.2009
-3.439,-2.8157,-3.0182,-0.2239,-4.7695
-1.6102,1.8349,1.1737,-0.0071785,-0.67191
-3.0365,-0.51655,-1.8648,-0.74541,-1.2547
-1.4162,-1.0901,-0.1379,0.26266,0.58885
-0.73868,-0.162,-0.42697,0.56706,0.054179
-1.3085,0.36736,1.4432,-2.2548,1.9308
0.33581,-1.8037,0.47307,-0.083063,1.4984
1.3419,3.5548,5.3269,4.4742,3.2141
3.3489,5.6785,3.5619,1.4338,3.9225
1.2831,1.5497,1.5951,1.6477,3.0079
-1.5385,-6.2826,-3.0084,-2.6391,0.19508
-0.12407,-4.1246,-1.6535,-2.339,-3.1729
1.93,0.76456,1.1139,2.6628,-1.0806
-3.0505,1.3875,-1.9458,-1.1536,0.2386
-1.274,-1.4744,-2.8146,-1.1489,-3.515
-2.4675,0.9308,-0.83643,-3.36,-3.1204
1.4889,0.7466,0.99791,2.0248,1.2171
-0.619,-1.6071,1.8344,-0.73066,-2.7861
-3.5533,-2.7717,-2.8283,-1.2147,-0.75301
0.24391,0.54475,1.9809,-0.34512,-0.65443
2.2526,1.5281,-0.95719,-2.8788,2.6894
-4.3231,0.37408,-2.3634,-2.355,-3.833
0.92671,-1.5905,1.9424,1.8824,0.72335
-1.8089,-0.10819,0.66215,0.53856,0.86188
-1.6345,-0.46799,-4.0539,-3.0323,-3.7123
3.2669,2.8585,0.91172,1.8373,1.6036
-3.06,5.0665,0.91445,-1.1128,2.2807
0.50729,-2.427,1.5834,1.0068,1.4711
-1.8186,-0.90937,-0.51531,1.2244,-1.1042
-1.1742,0.42186,-2.3982,-1.6388,-1.6452
